texto,label
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado. Qué dolor de cabeza, puta madre.",0
Hola buenos días gracias por el gran aporte al canal.,0
Hola buenos días gracias por el gran aporte al canal.,0
"El creador debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Excelente video amigo muchas gracias por compartir la información.,0
"El creador debería desaparecer, arruina la comunidad y deberían banearlo ya.",1
Muchas gracias por mantenernos informados todos los días.,0
Hola Wicha te mando saludos y muchas Gracias por tus Noticias.,0
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
"Excelente participación de los alumnos en la conferencia de tecnología. Qué dolor de cabeza, puta madre.",0
"Pinche perro debería desaparecer, arruina la comunidad y deberían banearlo ya.",1
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
"Este ratero debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
El proyecto final de ingeniería quedó agendada para el próximo lunes.,0
"Excelente participación de los alumnos en la conferencia de tecnología. Qué dolor de cabeza, puta madre.",0
Muchas gracias por mantenernos informados todos los días.,0
Mugroso resentido se comporta como una idiota y lárgate de esta plataforma.,1
Hola buenos días gracias por el gran aporte al canal.,0
"No mames, está cabrón el tráfico de hoy en la avenida principal. Qué dolor de cabeza, puta madre.",0
Hola buenos días gracias por el gran aporte al canal.,0
Este ratero resultó ser una cabrón y hay que quemar todo.,1
"Qué pendejo estoy, olvidé el archivo en la otra computadora.",0
ESTE RATERO ROBA Y ES UNA IGNORANTE Y HAY QUE QUEMAR TODO.,1
EL CREADOR SE COMPORTA COMO UNA BASURA Y HAY QUE LINCHARLO ENTRE TODOS.,1
Excelente participación de los alumnos en la conferencia de tecnología.,0
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
"Esa mujer debería desaparecer, arruina la comunidad y da asco que exista.",1
Ese sinvergüenza se comporta como una cabrón y debería desaparecer ya.,1
Ese sinvergüenza no es más que una miserable y da asco que exista.,1
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
"Ya valió madre, se cayó el sistema de la escuela otra vez.",0
Excelente video amigo muchas gracias por compartir la información.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
"Los trabajadores debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
Usurero ay que quemar Elektra no comprar nada.,1
"Esa basura debería desaparecer, arruina la comunidad y debería desaparecer ya.",1
Muchas gracias por mantenernos informados todos los días.,0
"Ese usuario debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Muchas gracias por compartir el enlace con la documentación de la API.,0
Qué buena peda nos pusimos ayer estuvo chingón.,0
Está cabrón terminar este proyecto final para el lunes.,0
"Qué pendejo estoy, olvidé el archivo en la otra computadora. Qué dolor de cabeza, puta madre.",0
Ese sinvergüenza se comporta como una cabrón y ojalá te pase algo malo.,1
"El político debería desaparecer, arruina la comunidad y hay que quemar todo.",1
"Pinche perro debería desaparecer, arruina la comunidad y eres un peligro social.",1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Usurero da asco ver que es una rata y nadie le cree nada.,1
"Qué pendejo estoy, olvidé el archivo en la otra computadora. Qué dolor de cabeza, puta madre.",0
Muchas gracias por mantenernos informados todos los días.,0
Ese mentiroso roba y es una manoso y deberían banearlo ya.,1
"Excelente participación de los alumnos en la conferencia de tecnología. Qué dolor de cabeza, puta madre.",0
"Está cabrón terminar este proyecto final para el lunes. Qué dolor de cabeza, puta madre.",0
"Muchas gracias por compartir el enlace con la documentación de la API. Qué dolor de cabeza, puta madre.",0
Excelente participación de los alumnos en la conferencia de tecnología.,0
"No mames, está cabrón el tráfico de hoy en la avenida principal.",0
"ESE SINVERGÜENZA DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y DEBERÍAN BANEARLO YA.",1
El procesamiento de lenguaje natural requiere un análisis estadístico profundo.,0
"Usurero debería desaparecer, arruina la comunidad y deberían banearlo ya.",1
"Mugroso resentido debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Excelente video amigo muchas gracias por compartir la información.,0
El creador demuestra ser una mierda y lárgate de esta plataforma.,1
"Los trabajadores debería desaparecer, arruina la comunidad y da asco que exista.",1
¿Alguien sabe a qué hora abre la biblioteca central de la facultad?,0
Muchas gracias por mantenernos informados todos los días.,0
Hola qué buen contenido me suscribo de inmediato saludos.,0
Usurero es una completa pendeja y hay que quemar todo.,1
¿Alguien sabe a qué hora abre la biblioteca central de la facultad?,0
Usurero da asco ver que es una ratero y eres un peligro social.,1
"Usurero debería desaparecer, arruina la comunidad y nadie le cree nada.",1
Hola Wicha te mando saludos y muchas Gracias por tus Noticias.,0
"¿Alguien sabe a qué hora abre la biblioteca central de la facultad? Qué dolor de cabeza, puta madre.",0
"¿Alguien sabe a qué hora abre la biblioteca central de la facultad? Qué dolor de cabeza, puta madre.",0
A este perro mentiroso nadie le cree por chillón.,1
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado. Qué dolor de cabeza, puta madre.",0
ESE MENTIROSO DA ASCO VER QUE ES UNA PENDEJA Y DA ASCO QUE EXISTA.,1
Mugroso resentido demuestra ser una mierda y hay que lincharlo entre todos.,1
Ese usuario demuestra ser una pendeja y da asco que exista.,1
"USURERO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y HAY QUE LINCHARLO ENTRE TODOS.",1
"EL POLÍTICO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y NADIE LE CREE NADA.",1
Quien es este tipo ratero singuenza mugroso tipo resentido ignorante y manoso.,1
EL CREADOR DA ASCO VER QUE ES UNA PENDEJA Y LÁRGATE DE ESTA PLATAFORMA.,1
Pinche perro se comporta como una chillón y eres un peligro social.,1
Usurero resultó ser una pendejo y nadie le cree nada.,1
Malditos corruptos de mierda ojalá se mueran todos.,1
Hola Wicha te mando saludos y muchas Gracias por tus Noticias.,0
Muchas gracias por mantenernos informados todos los días.,0
Pinche perro resultó ser una pendejo y ojalá te pase algo malo.,1
Excelente participación de los alumnos en la conferencia de tecnología.,0
"ESE MENTIROSO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y HAY QUE LINCHARLO ENTRE TODOS.",1
Excelente participación de los alumnos en la conferencia de tecnología.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Mugroso resentido se comporta como una pendejo y hay que quemar todo.,1
ESTE TIPO NO ES MÁS QUE UNA INCOMPETENTE Y DEBERÍA DESAPARECER YA.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
"¿Alguien sabe a qué hora abre la biblioteca central de la facultad? Qué dolor de cabeza, puta madre.",0
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
"Pinche perro debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
"El creador debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Usurero ay que quemar Elektra no comprar nada.,1
"Está cabrón terminar este proyecto final para el lunes. Qué dolor de cabeza, puta madre.",0
"El proyecto final de ingeniería quedó agendada para el próximo lunes. Qué dolor de cabeza, puta madre.",0
"¿Alguien sabe a qué hora abre la biblioteca central de la facultad? Qué dolor de cabeza, puta madre.",0
"Este delincuente debería estar en la cárcel, escoria social.",1
ESE MENTIROSO ROBA Y ES UNA IGNORANTE Y NADIE LE CREE NADA.,1
Los trabajadores demuestra ser una cabrón y eres un peligro social.,1
Esa mujer da asco ver que es una miserable y deberían banearlo ya.,1
Ese usuario resultó ser una incompetente y ojalá te pase algo malo.,1
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
Ese mentiroso se comporta como una imbécil y deberían banearlo ya.,1
Este tipo roba y es una pendeja y hay que quemar todo.,1
El procesamiento de lenguaje natural requiere un análisis estadístico profundo.,0
ESE MENTIROSO ROBA Y ES UNA IDIOTA Y DEBERÍAN BANEARLO YA.,1
Los trabajadores demuestra ser una pendejo y deberían banearlo ya.,1
Excelente video amigo muchas gracias por compartir la información.,0
Mugroso resentido se comporta como una idiota y hay que quemar todo.,1
"Qué pendejo estoy, olvidé el archivo en la otra computadora. Qué dolor de cabeza, puta madre.",0
GENTE IGNORANTE ROBA Y ES UNA PLAGA Y HAY QUE QUEMAR TODO.,1
Usurero da asco ver que es una ratero y da asco que exista.,1
"Pinche perro debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Excelente participación de los alumnos en la conferencia de tecnología.,0
Mugroso resentido es una completa basura y lárgate de esta plataforma.,1
Los trabajadores da asco ver que es una corrupto y eres un peligro social.,1
"Esa basura debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
Lárguense de aquí malditas plagas nadie los quiere.,1
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado.",0
El proyecto final de ingeniería quedó agendada para el próximo lunes.,0
ESA MUJER INSULTA A TODOS COMO LACRA Y LÁRGATE DE ESTA PLATAFORMA.,1
El creador roba y es una manoso y hay que lincharlo entre todos.,1
Esa lacra se comporta como una miserable y nadie le cree nada.,1
"Está cabrón terminar este proyecto final para el lunes. Qué dolor de cabeza, puta madre.",0
Hola qué buen contenido me suscribo de inmediato saludos.,0
Excelente video amigo muchas gracias por compartir la información.,0
"Ese usuario debería desaparecer, arruina la comunidad y eres un peligro social.",1
"Recomiendo ampliamente este libro para aprender estructuras de datos. Qué dolor de cabeza, puta madre.",0
Los trabajadores da asco ver que es una mentiroso y hay que lincharlo entre todos.,1
Muchas gracias por mantenernos informados todos los días.,0
"¿Alguien sabe a qué hora abre la biblioteca central de la facultad? Qué dolor de cabeza, puta madre.",0
Puta madre me dolió mucho el golpe en el pie.,0
"El streamer debería desaparecer, arruina la comunidad y nadie le cree nada.",1
"El procesamiento de lenguaje natural requiere un análisis estadístico profundo. Qué dolor de cabeza, puta madre.",0
Esa mujer es una completa pendejo y hay que lincharlo entre todos.,1
MUGROSO RESENTIDO SE COMPORTA COMO UNA CHILLÓN Y ERES UN PELIGRO SOCIAL.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
El creador es una completa pendejo y da asco que exista.,1
"Mugroso resentido debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
Este ratero da asco ver que es una escoria y lárgate de esta plataforma.,1
"El examen de la facultad estuvo de la chingada, pero alcancé a pasar. Qué dolor de cabeza, puta madre.",0
"Los trabajadores debería desaparecer, arruina la comunidad y nadie le cree nada.",1
Muchas gracias por mantenernos informados todos los días.,0
El político se comporta como una mediocre y da asco que exista.,1
PINCHE PERRO NO ES MÁS QUE UNA MIERDA Y LÁRGATE DE ESTA PLATAFORMA.,1
"El político debería desaparecer, arruina la comunidad y da asco que exista.",1
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
"Qué pendejo estoy, olvidé el archivo en la otra computadora.",0
ESTE TIPO NO ES MÁS QUE UNA CORRUPTO Y DA ASCO QUE EXISTA.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Los trabajadores da asco ver que es una imbécil y hay que quemar todo.,1
Hola buenos días gracias por el gran aporte al canal.,0
"EL POLÍTICO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y HAY QUE QUEMAR TODO.",1
"Puta madre me dolió mucho el golpe en el pie. Qué dolor de cabeza, puta madre.",0
ESTE RATERO RESULTÓ SER UNA INCOMPETENTE Y HAY QUE QUEMAR TODO.,1
"¿Alguien sabe a qué hora abre la biblioteca central de la facultad? Qué dolor de cabeza, puta madre.",0
ESE MENTIROSO SE COMPORTA COMO UNA MANOSO Y DEBERÍA DESAPARECER YA.,1
Ese sinvergüenza da asco ver que es una idiota y eres un peligro social.,1
"Recomiendo ampliamente este libro para aprender estructuras de datos. Qué dolor de cabeza, puta madre.",0
"Qué buena peda nos pusimos ayer estuvo chingón. Qué dolor de cabeza, puta madre.",0
"ESE MENTIROSO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y DEBERÍAN BANEARLO YA.",1
"Usurero debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
"ESA MUJER DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y HAY QUE QUEMAR TODO.",1
Esa mujer da asco ver que es una manoso y da asco que exista.,1
MUGROSO RESENTIDO DA ASCO VER QUE ES UNA ESCORIA Y HAY QUE LINCHARLO ENTRE TODOS.,1
Muchas gracias por compartir el enlace con la documentación de la API.,0
Este tipo es una completa corrupto y nadie le cree nada.,1
Muchas gracias por compartir el enlace con la documentación de la API.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
"El examen de la facultad estuvo de la chingada, pero alcancé a pasar.",0
Esa lacra es una completa plaga y ojalá te pase algo malo.,1
"Este delincuente debería estar en la cárcel, escoria social.",1
ESTE TIPO INSULTA A TODOS COMO IMBÉCIL Y HAY QUE QUEMAR TODO.,1
Hola qué buen contenido me suscribo de inmediato saludos.,0
Hola buenos días gracias por el gran aporte al canal.,0
Esa lacra insulta a todos como lacra y debería desaparecer ya.,1
Hola qué buen contenido me suscribo de inmediato saludos.,0
Ese sinvergüenza es una completa mentiroso y hay que quemar todo.,1
"Ese usuario debería desaparecer, arruina la comunidad y debería desaparecer ya.",1
"Usurero debería desaparecer, arruina la comunidad y ojalá te pase algo malo.",1
Mugroso resentido da asco ver que es una mierda y deberían banearlo ya.,1
"Mugroso resentido debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
Está cabrón terminar este proyecto final para el lunes.,0
USURERO AY QUE QUEMAR ELEKTRA NO COMPRAR NADA.,1
"Este delincuente debería estar en la cárcel, escoria social.",1
Hola qué buen contenido me suscribo de inmediato saludos.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Usurero resultó ser una escoria y hay que quemar todo.,1
El candidato no es más que una ratero y nadie le cree nada.,1
"Este ratero debería desaparecer, arruina la comunidad y nadie le cree nada.",1
Muchas gracias por compartir el enlace con la documentación de la API.,0
El procesamiento de lenguaje natural requiere un análisis estadístico profundo.,0
Qué buena peda nos pusimos ayer estuvo chingón.,0
Pinche perro da asco ver que es una inepto y debería desaparecer ya.,1
Excelente video amigo muchas gracias por compartir la información.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
Muchas gracias por mantenernos informados todos los días.,0
MALDITOS CORRUPTOS DE MIERDA OJALÁ SE MUERAN TODOS.,1
Pinche perro insulta a todos como mediocre y ojalá te pase algo malo.,1
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado.",0
"No mames, está cabrón el tráfico de hoy en la avenida principal.",0
"ESE SINVERGÜENZA DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y HAY QUE QUEMAR TODO.",1
"No mames, está cabrón el tráfico de hoy en la avenida principal.",0
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
El creador es una completa mediocre y hay que quemar todo.,1
Muchas gracias por mantenernos informados todos los días.,0
"Qué buena peda nos pusimos ayer estuvo chingón. Qué dolor de cabeza, puta madre.",0
"No mames, está cabrón el tráfico de hoy en la avenida principal.",0
Este ratero no es más que una pendeja y ojalá te pase algo malo.,1
"Ya valió madre, se cayó el sistema de la escuela otra vez.",0
"Pinche perro debería desaparecer, arruina la comunidad y lárgate de esta plataforma.",1
"ESE SINVERGÜENZA DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y OJALÁ TE PASE ALGO MALO.",1
"El examen de la facultad estuvo de la chingada, pero alcancé a pasar.",0
Esa basura se comporta como una incompetente y ojalá te pase algo malo.,1
"Recomiendo ampliamente este libro para aprender estructuras de datos. Qué dolor de cabeza, puta madre.",0
Los trabajadores roba y es una escoria y deberían banearlo ya.,1
Hola qué buen contenido me suscribo de inmediato saludos.,0
El político da asco ver que es una mierda y hay que quemar todo.,1
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
Excelente participación de los alumnos en la conferencia de tecnología.,0
El político resultó ser una plaga y debería desaparecer ya.,1
"Qué pendejo estoy, olvidé el archivo en la otra computadora.",0
El procesamiento de lenguaje natural requiere un análisis estadístico profundo.,0
Muchas gracias por mantenernos informados todos los días.,0
Hola Wicha te mando saludos y muchas Gracias por tus Noticias.,0
"ESE MENTIROSO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y DA ASCO QUE EXISTA.",1
Hola qué buen contenido me suscribo de inmediato saludos.,0
Mugroso resentido resultó ser una idiota y da asco que exista.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado.",0
Hola qué buen contenido me suscribo de inmediato saludos.,0
Los trabajadores da asco ver que es una corrupto y hay que lincharlo entre todos.,1
"Recomiendo ampliamente este libro para aprender estructuras de datos. Qué dolor de cabeza, puta madre.",0
Los trabajadores es una completa ratero y eres un peligro social.,1
Hola buenos días gracias por el gran aporte al canal.,0
"MUGROSO RESENTIDO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y DA ASCO QUE EXISTA.",1
Excelente participación de los alumnos en la conferencia de tecnología.,0
Hola Wicha te mando saludos y muchas Gracias por tus Noticias.,0
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
El político es una completa mentiroso y nadie le cree nada.,1
Excelente video amigo muchas gracias por compartir la información.,0
El creador da asco ver que es una parásito y da asco que exista.,1
Los trabajadores demuestra ser una incompetente y hay que quemar todo.,1
"Ese mentiroso debería desaparecer, arruina la comunidad y debería desaparecer ya.",1
"Puta madre me dolió mucho el golpe en el pie. Qué dolor de cabeza, puta madre.",0
"El candidato debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
Excelente video amigo muchas gracias por compartir la información.,0
Usurero resultó ser una rata y lárgate de esta plataforma.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Hola qué buen contenido me suscribo de inmediato saludos.,0
El proyecto final de ingeniería quedó agendada para el próximo lunes.,0
Mugroso resentido demuestra ser una idiota y hay que lincharlo entre todos.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
"Muchas gracias por compartir el enlace con la documentación de la API. Qué dolor de cabeza, puta madre.",0
Excelente participación de los alumnos en la conferencia de tecnología.,0
ESTE RATERO ES UNA COMPLETA CHILLÓN Y HAY QUE QUEMAR TODO.,1
"El examen de la facultad estuvo de la chingada, pero alcancé a pasar. Qué dolor de cabeza, puta madre.",0
"El creador debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Usurero es una completa corrupto y eres un peligro social.,1
El político roba y es una mediocre y deberían banearlo ya.,1
Muchas gracias por compartir el enlace con la documentación de la API.,0
Hola buenos días gracias por el gran aporte al canal.,0
Muchas gracias por mantenernos informados todos los días.,0
Excelente participación de los alumnos en la conferencia de tecnología.,0
"Este ratero debería desaparecer, arruina la comunidad y hay que quemar todo.",1
"Ese mentiroso debería desaparecer, arruina la comunidad y debería desaparecer ya.",1
"Esa basura debería desaparecer, arruina la comunidad y lárgate de esta plataforma.",1
Mugroso resentido es una completa ignorante y deberían banearlo ya.,1
"Ya valió madre, se cayó el sistema de la escuela otra vez.",0
"Ya valió madre, se cayó el sistema de la escuela otra vez.",0
Pinche perro insulta a todos como ratero y nadie le cree nada.,1
"Qué pendejo estoy, olvidé el archivo en la otra computadora.",0
Esa lacra no es más que una rata y lárgate de esta plataforma.,1
"Este tipo debería desaparecer, arruina la comunidad y hay que lincharlo entre todos.",1
"Mugroso resentido debería desaparecer, arruina la comunidad y eres un peligro social.",1
"El candidato debería desaparecer, arruina la comunidad y debería desaparecer ya.",1
ESA BASURA SE COMPORTA COMO UNA LACRA Y HAY QUE LINCHARLO ENTRE TODOS.,1
Los trabajadores da asco ver que es una escoria y hay que quemar todo.,1
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
Puta madre me dolió mucho el golpe en el pie.,0
Está cabrón terminar este proyecto final para el lunes.,0
Hola comunidad espero que tengan una excelente semana bendiciones.,0
"Ya valió madre, se cayó el sistema de la escuela otra vez.",0
Hola buenos días gracias por el gran aporte al canal.,0
Malditos corruptos de mierda ojalá se mueran todos.,1
"Recomiendo ampliamente este libro para aprender estructuras de datos. Qué dolor de cabeza, puta madre.",0
Esa mujer se comporta como una rata y eres un peligro social.,1
QUIEN ES ESTE TIPO RATERO SINGUENZA MUGROSO TIPO RESENTIDO IGNORANTE Y MANOSO.,1
Muchas gracias por mantenernos informados todos los días.,0
Ese usuario da asco ver que es una cabrón y eres un peligro social.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
El proyecto final de ingeniería quedó agendada para el próximo lunes.,0
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado.",0
"ESTE RATERO DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y OJALÁ TE PASE ALGO MALO.",1
Ese mentiroso da asco ver que es una lacra y hay que lincharlo entre todos.,1
"Mugroso resentido debería desaparecer, arruina la comunidad y ojalá te pase algo malo.",1
MALDITOS CORRUPTOS DE MIERDA OJALÁ SE MUERAN TODOS.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
El proyecto final de ingeniería quedó agendada para el próximo lunes.,0
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
El proyecto final de ingeniería quedó agendada para el próximo lunes.,0
Pinche perro da asco ver que es una escoria y hay que lincharlo entre todos.,1
"Mugroso resentido debería desaparecer, arruina la comunidad y debería desaparecer ya.",1
Saludos cordiales profesor desde la Facultad de Ingeniería.,0
"El examen de la facultad estuvo de la chingada, pero alcancé a pasar. Qué dolor de cabeza, puta madre.",0
Este ratero roba y es una pendejo y hay que quemar todo.,1
Ese sinvergüenza insulta a todos como miserable y eres un peligro social.,1
Muchas gracias por compartir el enlace con la documentación de la API.,0
Usurero roba y es una ignorante y deberían banearlo ya.,1
Muchas gracias por mantenernos informados todos los días.,0
Hola qué buen contenido me suscribo de inmediato saludos.,0
Qué buena peda nos pusimos ayer estuvo chingón.,0
"Qué pendejo estoy, olvidé el archivo en la otra computadora.",0
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado.",0
Hola buenos días gracias por el gran aporte al canal.,0
"El candidato debería desaparecer, arruina la comunidad y deberían banearlo ya.",1
Ese mentiroso es una completa ignorante y lárgate de esta plataforma.,1
Esa lacra es una completa parásito y lárgate de esta plataforma.,1
Esa mujer roba y es una manoso y eres un peligro social.,1
"Muchas gracias por compartir el enlace con la documentación de la API. Qué dolor de cabeza, puta madre.",0
El candidato roba y es una parásito y debería desaparecer ya.,1
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado.",0
"El streamer debería desaparecer, arruina la comunidad y nadie le cree nada.",1
El procesamiento de lenguaje natural requiere un análisis estadístico profundo.,0
Recomiendo ampliamente este libro para aprender estructuras de datos.,0
"Qué buena peda nos pusimos ayer estuvo chingón. Qué dolor de cabeza, puta madre.",0
Esa mujer es una completa escoria y hay que quemar todo.,1
El streamer resultó ser una inepto y ojalá te pase algo malo.,1
"Este ratero debería desaparecer, arruina la comunidad y eres un peligro social.",1
Malditos corruptos de mierda ojalá se mueran todos.,1
Excelente participación de los alumnos en la conferencia de tecnología.,0
"Ese usuario debería desaparecer, arruina la comunidad y ojalá te pase algo malo.",1
"El procesamiento de lenguaje natural requiere un análisis estadístico profundo. Qué dolor de cabeza, puta madre.",0
"Esa mujer debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Hola Wicha te mando saludos y muchas Gracias por tus Noticias.,0
"Este tipo debería desaparecer, arruina la comunidad y lárgate de esta plataforma.",1
El candidato es una completa idiota y lárgate de esta plataforma.,1
Hola comunidad espero que tengan una excelente semana bendiciones.,0
Excelente video amigo muchas gracias por compartir la información.,0
"Qué pendejo estoy, olvidé el archivo en la otra computadora.",0
"Qué pendejada acabo de hacer con el café, lo derramé sobre el teclado. Qué dolor de cabeza, puta madre.",0
Qué buena peda nos pusimos ayer estuvo chingón.,0
"EL STREAMER DEBERÍA DESAPARECER, ARRUINA LA COMUNIDAD Y DEBERÍAN BANEARLO YA.",1
El creador resultó ser una lacra y hay que lincharlo entre todos.,1
"Mugroso resentido debería desaparecer, arruina la comunidad y eres un peligro social.",1
"Ya valió madre, se cayó el sistema de la escuela otra vez.",0
"No mames, está cabrón el tráfico de hoy en la avenida principal. Qué dolor de cabeza, puta madre.",0
Hola buenos días gracias por el gran aporte al canal.,0
"Ese usuario debería desaparecer, arruina la comunidad y da asco que exista.",1
Esa basura se comporta como una pendejo y debería desaparecer ya.,1
Muchas gracias por mantenernos informados todos los días.,0
El streamer no es más que una miserable y hay que quemar todo.,1
ESA BASURA RESULTÓ SER UNA CORRUPTO Y HAY QUE QUEMAR TODO.,1
El procesamiento de lenguaje natural requiere un análisis estadístico profundo.,0
"Usurero debería desaparecer, arruina la comunidad y hay que quemar todo.",1
Hola qué buen contenido me suscribo de inmediato saludos.,0
Gente ignorante da asco ver que es una cabrón y eres un peligro social.,1
"Usurero debería desaparecer, arruina la comunidad y hay que quemar todo.",1
